Max Length,mmap_lib,std
2,0.06066188999999998,0.35768674999999994
3,0.047742704999999996,0.5607998499999999
4,0.045556095000000005,0.42840795
5,0.044826819999999996,0.35391615
6,0.044507685000000005,0.3087687499999999
7,0.044364539999999994,0.27780365
8,0.044179890000000006,0.25510240000000006
9,0.044157234999999996,0.23992750000000002
10,0.04415427,0.22722575000000003
11,0.044193844999999995,0.21529759999999998
12,0.044292915,0.20531890000000003
13,0.04424156,0.19708714999999996
14,0.044300425,0.19036075
15,0.04458658499999999,0.18407230000000002
16,0.045066855,0.17841459999999998
17,0.045768915,0.17373285
18,0.046211260000000004,0.16901804999999998
19,0.047289910000000004,0.16537324999999997
20,0.048013645,0.16191989999999998
21,0.04944385,0.15899175000000002
22,0.050396289999999996,0.1562682
23,0.051299475000000004,0.15358325000000003
24,0.052239465,0.15117879999999997
25,0.054687595,0.14897275
26,0.055724184999999996,0.14690125
27,0.056929295000000005,0.1449669
28,0.05842423499999999,0.14306289999999994
29,0.059777844999999996,0.14126249999999999
30,0.061235630000000006,0.13958695
31,0.06241143000000001,0.13794915000000002
32,0.06680244999999999,0.13662100000000002
33,0.068236355,0.13530859999999997
34,0.06958210999999999,0.1339597
35,0.070892655,0.13261625
36,0.07226556000000002,0.13142605000000002
37,0.07408818,0.13027404999999997
38,0.07539862500000001,0.12932219999999997
39,0.07694531499999999,0.12830199999999997
40,0.07873168999999998,0.12725965
41,0.08068317500000002,0.12679485000000001
42,0.08279493499999999,0.12551704999999996
43,0.085587315,0.12432145000000001
44,0.09248229,0.12351875000000001
45,0.09446919500000002,0.12284024999999998
46,0.09610779500000002,0.1219721
47,0.09770262499999999,0.12130805
48,0.099866365,0.12072350000000001
49,0.10157540000000001,0.11996689999999999
50,0.10384724999999999,0.11929680000000002
