Max Length,mmap_lib::str,std::string
5,2.4352835000000006,2.0718985
6,2.502214,2.156999
7,2.5170765000000004,2.202383
8,2.5188955000000006,2.2655304999999997
9,2.5341569999999995,2.316782
10,2.544988,2.3601184999999996
11,2.545149,2.3980694999999996
12,2.5514645000000002,2.4284670000000004
13,2.5567070000000003,2.465013
14,2.5361114999999996,2.4759144999999996
15,2.4774025,2.5002275000000003
16,2.3924235,2.5125365000000004
17,2.2896305000000003,2.4672185
18,2.2550035,2.468752
19,2.17398,2.453108
20,2.1669630000000004,2.4503645
21,2.0724495000000003,2.4550275
22,2.0794274999999995,2.456522
23,2.079766,2.4548300000000003
24,2.0801725,2.4632885000000004
25,1.9660989999999998,2.461137
26,1.9734695000000002,2.4526984999999994
27,1.9921770000000003,2.4648574999999995
28,2.003547,2.4674274999999994
29,2.0253124999999996,2.488221
30,1.9973610000000002,2.4836145
31,2.0022605,2.5017319999999996
32,1.863877,2.4561005
33,1.8662885,2.4800834999999997
34,1.8971225,2.513693
35,1.9218925000000002,2.5277220000000002
36,1.9143944999999998,2.5354129999999997
37,1.9268215000000002,2.538183
38,1.943909,2.546144000000001
39,1.9396194999999998,2.5533954999999997
40,1.9566845000000002,2.5549444999999995
41,1.9659590000000002,2.5595370000000006
42,1.9710939999999997,2.5663760000000004
43,1.974933,2.5775885
44,1.7954679999999996,2.583154
45,1.7962295000000001,2.5838855
46,1.8032024999999998,2.5920339999999995
47,1.818082,2.595852
48,1.8100075,2.605294
49,1.826386,2.6083819999999998
50,1.8304299999999998,2.6120229999999998
