Max Length,mmap_lib::str,std::string
5,0.0008827956,0.0008796423499999997
6,0.0009107977999999999,0.0008998300499999999
7,0.0009834334,0.0009563653499999999
8,0.00106068955,0.00098110755
9,0.0011182089,0.0010189169
10,0.0011741101499999997,0.0010518017
11,0.0012470969,0.00108629765
12,0.0013223741000000003,0.00113809465
13,0.0013919949999999998,0.00116229485
14,0.001462981,0.0012133518000000004
15,0.0018915585,0.0012565525
16,0.0023222785,0.0013058158000000002
17,0.0029922430000000008,0.0014235559999999999
18,0.0036101585000000006,0.0015238464999999999
19,0.004698682,0.0016364639999999996
20,0.0055021210000000004,0.001724523
21,0.00724114,0.001781222
22,0.008181994000000001,0.0018624145000000001
23,0.0093247615,0.0019627815
24,0.010439937500000001,0.0020226615000000004
25,0.013416675,0.0021102465000000003
26,0.014855215,0.0021572295000000003
27,0.015994730000000002,0.0022345094999999997
28,0.017382905,0.002301425
29,0.018624445,0.0023142794999999996
30,0.020640474999999995,0.0024066575
31,0.022435385,0.0024377769999999995
32,0.027764405,0.0025818235
33,0.03004366499999999,0.0026203615
34,0.031277019999999996,0.0026216715
35,0.03267594,0.002704977
36,0.034897035,0.002724172999999999
37,0.03662858000000001,0.002791617
38,0.03836056,0.002855543
39,0.04035763999999999,0.002898695000000001
40,0.042601105,0.002962098
41,0.044366604999999996,0.0030525089999999993
42,0.046656965,0.0030668325000000004
43,0.04916102499999999,0.0031156969999999997
44,0.060507130000000006,0.0031408435000000005
45,0.06327406499999999,0.0032196100000000004
46,0.065470575,0.0032481499999999996
47,0.06760617499999999,0.0032942634999999997
48,0.070916355,0.0033496144999999996
49,0.072945865,0.0033897655
50,0.07583110000000003,0.0034387515
